CMDLINE ./memory_mountain
MEM 0.300781 1531098069.4785
MEM 4.531250 1531098069.5797
MEM 8.449219 1531098069.6849
MEM 12.406250 1531098069.7892
MEM 16.148438 1531098069.8940
MEM 19.968750 1531098069.9993
MEM 23.742188 1531098070.1013
MEM 27.468750 1531098070.2051
MEM 31.183594 1531098070.3067
MEM 35.113281 1531098070.4119
MEM 39.054688 1531098070.5166
MEM 42.898438 1531098070.6185
MEM 46.718750 1531098070.7213
MEM 50.433594 1531098070.8217
MEM 54.246094 1531098070.9229
MEM 58.175781 1531098071.0270
MEM 62.066406 1531098071.1322
MEM 65.968750 1531098071.2366
MEM 69.828125 1531098071.3395
MEM 73.726562 1531098071.4447
MEM 77.652344 1531098071.5499
MEM 81.425781 1531098071.6511
MEM 85.296875 1531098071.7535
MEM 89.125000 1531098071.8547
MEM 92.890625 1531098071.9550
MEM 96.847656 1531098072.0602
MEM 100.812500 1531098072.1654
MEM 104.699219 1531098072.2706
MEM 108.449219 1531098072.3716
MEM 112.292969 1531098072.4750
MEM 116.062500 1531098072.5773
MEM 119.988281 1531098072.6825
MEM 123.882812 1531098072.7877
MEM 127.613281 1531098072.8884
MEM 128.937500 1531098072.9888
MEM 128.937500 1531098073.0943
MEM 128.937500 1531098073.1998
MEM 128.937500 1531098073.3040
MEM 128.937500 1531098073.4060
MEM 128.937500 1531098073.5114
MEM 128.937500 1531098073.6169
MEM 128.937500 1531098073.7217
MEM 128.937500 1531098073.8241
MEM 128.937500 1531098073.9290
MEM 128.937500 1531098074.0322
MEM 128.937500 1531098074.1377
MEM 128.937500 1531098074.2383
MEM 128.937500 1531098074.3389
MEM 128.937500 1531098074.4408
MEM 128.937500 1531098074.5461
MEM 128.937500 1531098074.6474
MEM 128.937500 1531098074.7529
MEM 128.937500 1531098074.8567
MEM 128.957031 1531098074.9575
MEM 128.960938 1531098075.0619
MEM 128.960938 1531098075.1666
MEM 128.960938 1531098075.2713
MEM 128.960938 1531098075.3766
MEM 128.960938 1531098075.4818
MEM 128.960938 1531098075.5866
MEM 128.960938 1531098075.6903
MEM 128.960938 1531098075.7913
MEM 128.960938 1531098075.8961
MEM 128.960938 1531098076.0013
MEM 128.960938 1531098076.1046
MEM 128.960938 1531098076.2085
MEM 128.960938 1531098076.3137
MEM 128.960938 1531098076.4189
MEM 128.960938 1531098076.5239
MEM 128.960938 1531098076.6251
