Clock frequency is approx. 2597.4 MHz
Memory mountain (MB/sec)
Max Elements: 16785409
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	3013.4	3027.3	3003.4	2876.3	2752.0	2593.3	2409.6	2379.9	1604.4	1480.9	1478.3	1383.6	1303.4	1249.5	1131.7	1117.7	1045.8	1080.5	1030.3	996.2	1119.7	1130.7	1117.0	1116.3	1113.5	1087.1	1048.4	1026.9	1095.7	1020.2	1036.9	1133.1	855.6	879.1	852.1	896.4	892.8	891.6	857.3	864.0	888.4	952.1	926.5	1000.7	1012.3	1102.7	1130.6	953.4	947.1	977.8	1288.4	1282.5	1300.6	1338.3	1337.5	1304.9	1362.3	1428.5	1320.4	1347.9	1417.5	1516.0	1535.5	1028.8	
16m	2917.5	2879.8	2834.5	2737.5	2640.2	2516.5	2334.2	2241.5	2153.9	1594.0	1417.8	1322.4	1290.9	1244.8	1208.3	1211.6	1177.8	1160.5	1154.5	1147.3	1210.1	1240.3	1321.0	1369.2	1381.9	1408.6	1118.3	1315.6	1331.6	1469.5	1651.9	1094.8	1669.5	1646.0	1622.6	1767.7	1788.9	1833.2	1832.8	1896.8	1872.9	1883.2	2040.6	2176.0	2073.0	2193.4	2173.7	1630.4	1591.4	1691.9	1858.1	1920.9	2037.3	2035.5	2096.2	2117.2	2080.7	2102.8	2096.7	2082.7	2052.0	2094.9	2102.9	1140.1	
8m	2332.2	2691.3	2770.9	2802.8	2758.2	2646.6	2498.9	2380.5	2273.0	2088.4	1918.9	1347.2	1316.1	1264.8	1209.5	1167.8	1290.3	1867.0	1930.4	2000.7	2007.9	2074.0	2131.6	2174.4	2139.1	2171.3	2159.2	2174.4	2275.6	2221.9	2236.4	1463.7	1978.1	2003.1	2120.1	2159.4	2145.2	2138.8	2137.5	2132.2	2140.4	2106.0	2131.4	2137.0	2129.5	2145.4	2143.8	2150.6	2227.0	2177.2	2120.6	2122.8	2115.4	2100.5	2105.2	2106.8	2108.9	2118.1	2102.0	2099.5	2084.5	2086.3	2174.5	1355.1	
4m	2305.1	2372.4	2385.5	2377.1	2376.2	2534.1	2608.9	2674.7	2646.9	2640.1	2708.4	2667.5	2676.4	2646.6	2604.9	2709.0	2693.1	2730.1	2770.5	2789.2	2894.8	2948.1	2939.0	3061.1	3061.9	2806.5	3060.9	3058.7	3059.4	2777.6	2689.2	2608.6	3057.6	2677.0	2660.0	2615.3	2623.9	2652.6	2668.2	2661.4	2663.2	2675.8	2698.4	2672.8	2676.3	2709.7	2696.9	2750.4	2693.9	2683.3	2665.8	2670.6	2661.2	2667.8	2674.1	2676.3	2672.8	2640.1	2644.9	2664.7	2661.6	2658.1	2649.2	2452.6	
2m	3105.0	3105.1	3104.8	3104.8	3102.7	3100.8	3099.0	3096.1	3093.1	3093.7	3094.0	3092.6	3086.8	3077.6	3070.4	3064.8	3059.4	3053.3	3048.5	3043.1	3036.8	3023.9	2981.6	2911.5	2872.8	2861.4	2838.0	2830.6	2613.9	2764.7	2701.7	2946.5	2664.6	2713.5	2648.2	2622.0	2633.7	2646.0	2667.1	2657.6	2659.3	2679.2	2688.7	2661.6	2668.1	2687.6	2685.8	2742.8	2666.4	2681.8	2679.9	2674.3	2642.2	2654.4	2680.2	2638.2	2663.9	2651.6	2643.2	2660.6	2648.7	2654.3	2694.6	2882.6	
1024k	3105.0	3103.6	3103.4	3103.8	3102.7	3098.8	3097.8	3096.5	3091.3	3091.5	3091.5	3092.9	3088.1	3080.9	3069.2	3061.6	3057.8	3053.7	3044.8	3038.3	3039.3	3018.3	2979.0	2906.1	2880.4	2855.5	2834.0	2834.1	2785.1	2763.6	2727.0	2953.9	2672.4	2711.9	2629.5	2630.6	2622.1	2638.7	2687.6	2683.2	2644.1	2711.2	2713.0	2692.9	2760.8	2766.7	2723.7	2921.8	2794.2	2815.9	2801.3	2768.2	2841.3	2893.3	2892.5	2873.3	2967.8	2886.4	2980.1	2984.0	3074.9	3093.9	2955.4	2901.3	
512k	3105.2	3104.0	3103.6	3104.5	3100.8	3099.2	3095.9	3095.3	3091.8	3090.6	3091.3	3092.1	3085.8	3073.9	3069.6	3056.3	3064.0	3047.4	3051.8	3035.9	3052.8	3031.3	3002.5	2948.2	2985.0	2981.9	2998.6	2980.4	2984.4	2972.7	3090.0	2991.9	3084.1	2992.1	3009.0	3093.4	3084.9	3079.8	3022.6	3087.1	3089.0	3019.5	3059.7	3089.9	3035.7	3087.5	3095.5	3085.6	3080.2	3085.0	3090.5	3090.3	3085.2	3086.0	3085.6	3089.8	3084.3	3091.7	3084.8	3082.1	3084.0	3089.1	3050.5	2961.1	
256k	3104.3	3104.1	3102.8	3105.6	3098.2	3103.5	3101.8	3103.1	3104.2	3098.9	3097.4	3097.5	3100.9	3100.5	3100.2	3089.6	3090.9	3090.4	3092.0	3095.0	3093.9	3094.2	3099.1	3093.0	3096.9	3088.1	3096.6	3089.8	3089.2	3087.9	3091.8	3076.7	3089.5	3088.6	3087.6	3084.1	3082.1	3087.0	3073.5	3084.6	3077.3	3073.7	3078.1	3077.3	3080.2	3074.4	3079.5	3072.9	3082.0	3074.9	3074.8	3076.5	3069.0	3076.6	3079.4	3064.2	3077.2	3077.5	3059.5	3068.7	3069.6	3064.2	3066.9	3051.9	
128k	3106.0	3104.9	3103.8	3103.1	3102.0	3100.3	3102.9	3099.5	3097.5	3097.2	3097.3	3095.0	3091.8	3093.0	3088.8	3091.9	3081.9	3092.2	3081.7	3086.9	3073.7	3082.2	3077.0	3080.9	3070.8	3075.1	3076.6	3065.7	3079.2	3063.8	3074.4	3073.1	3064.3	3073.4	3067.8	3063.7	3074.9	3076.4	3066.5	3063.1	3061.0	3069.7	3061.5	3057.4	3062.2	3060.4	3063.3	3040.7	3062.4	3063.8	3050.9	3041.6	3064.6	3054.2	3064.2	3045.1	3034.3	3056.0	3058.8	3040.1	3048.8	3043.8	3028.4	3029.3	
64k	3104.8	3101.1	3102.6	3100.4	3096.1	3090.3	3092.2	3092.8	3083.1	3082.4	3079.8	3080.9	3070.7	3064.2	3075.4	3066.0	3065.9	3059.8	3074.3	3069.7	3072.0	3071.9	3055.4	3061.7	3061.1	3058.7	3054.2	3048.1	3046.5	3053.2	3050.5	3029.3	3022.2	3037.2	3035.2	3042.0	3038.3	3038.0	3021.9	3026.0	3016.5	3028.4	3026.4	3026.3	3030.3	3012.0	3017.3	3009.8	2998.9	3021.9	3023.3	3019.2	3006.0	3012.1	3021.0	2991.1	2984.4	2992.3	2997.0	3004.7	2993.2	2997.2	2981.6	2955.3	
